Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
68	1	1	0	5.6054	3.2299	2.3755	0.5762122239	0.4237877761	0.0536850812	0.1315275086	0.1354851213	0.0233420665	0.0233420665
68	1	1	1	5.6320094443	4.336706299	1.2953031453	0.7700104806	0.2299895194	0.0646135092	0.0987155252	0.0932619957	0.0161166483	0.0161166483
68	1	1	2	5.5666380052	1.6176145437	3.9490234615	0.2905909352	0.7094090648	0.0661404878	0.1132843835	0.1196464914	0.0198317155	0.0198317155
68	1	2	0	5.5366	2.97505	2.56155	0.5373424123	0.4626575877	0.049331749	0.1058262246	0.1048509999	0.0184682061	0.0184682061
68	1	2	1	5.5842485685	4.1519759692	1.4322725993	0.7435156079	0.2564843921	0.0538750181	0.0741347116	0.0787170792	0.0132611547	0.0132611547
68	1	2	2	5.4822937841	1.6336792554	3.8486145287	0.2979919208	0.7020080792	0.0677236937	0.0951051054	0.1001450916	0.016646001	0.016646001
68	2	1	0	5.726225	4.275	1.451225	0.7465651454	0.2534348546	0.0902743889	0.2709084813	0.2723053823	0.0472193411	0.0472193411
68	2	1	1	5.7357750647	5.339918609	0.3958564558	0.9309846618	0.0690153382	0.11330791	0.1287690747	0.1128899216	0.0192054027	0.0192054027
68	2	1	2	5.7063222822	2.0556669237	3.6506553585	0.3602437476	0.6397562524	0.1082973633	0.3539444367	0.3623094513	0.061680233	0.061680233
68	2	2	0	5.2818	3.210125	2.071675	0.607771025	0.392228975	0.1803448601	0.4231560294	0.3427094604	0.0691588133	0.0691588133
68	2	2	1	5.347908418	4.3086589774	1.0392494405	0.8056717955	0.1943282045	0.2202842414	0.3068317148	0.2661824196	0.048431966	0.048431966
68	2	2	2	5.1901694106	1.6874850871	3.5026843236	0.3251310224	0.6748689776	0.2212734654	0.3982758968	0.3302224719	0.0691760353	0.0691760353
