Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
80	1	1	0	4.86985	2.87605	1.9938	0.5905828722	0.4094171278	0.0639628814	0.1244379992	0.1184791185	0.0240413568	0.0240413568
80	1	1	1	4.8637073679	3.9410309815	0.9226763864	0.810293606	0.189706394	0.0761123326	0.0999270034	0.076214724	0.0156111991	0.0156111991
80	1	1	2	4.8781998348	1.4283944792	3.4498053557	0.292811801	0.707188199	0.0846070809	0.1043080182	0.1143489995	0.0204592702	0.0204592702
80	1	2	0	4.683425	2.70155	1.981875	0.5768321261	0.4231678739	0.0668859234	0.1140518229	0.1039168582	0.022061591	0.022061591
80	1	2	1	4.7009309205	3.7832347312	0.9176961893	0.8047841577	0.1952158423	0.0772626624	0.0849172292	0.0579478714	0.0120455326	0.0120455326
80	1	2	2	4.6597695744	1.2398894898	3.4198800846	0.2660838632	0.7339161368	0.0825866093	0.1031457662	0.097983329	0.0202918112	0.0202918112
80	2	1	0	4.898225	3.438275	1.45995	0.7019430508	0.2980569492	0.0780195486	0.1266098398	0.1114770725	0.0225152538	0.0225152538
80	2	1	1	4.9895602294	4.3554875717	0.6340726577	0.8729201315	0.1270798685	0.088761203	0.0956648516	0.0702290717	0.0135985557	0.0135985557
80	2	1	2	4.7257761733	1.7064981949	3.0192779783	0.3611043207	0.6388956793	0.1270840839	0.129318582	0.1307023839	0.0240104405	0.0240104405
80	2	2	0	4.770475	3.133625	1.63685	0.656879032	0.343120968	0.0946174478	0.1553399048	0.1278799066	0.0273286875	0.0273286875
80	2	2	1	4.8551880057	4.1086784071	0.7465095986	0.8462449656	0.1537550344	0.1139050153	0.1383646532	0.0837443206	0.0174170654	0.0174170654
80	2	2	2	4.6260481471	1.4712604815	3.1547876657	0.3180382985	0.6819617015	0.1202046257	0.1328021228	0.1406859034	0.0264277322	0.0264277322
