Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
92	1	1	0	3.45015	2.373825	1.076325	0.6880353028	0.3119646972	0.0832443728	0.1015478192	0.0980398941	0.0269386378	0.0269386378
92	1	1	1	3.5412917271	3.148838897	0.3924528302	0.8891780569	0.1108219431	0.0867918315	0.0835232893	0.0481101745	0.0131229858	0.0131229858
92	1	1	2	3.2482315113	0.6568327974	2.5913987138	0.2022124332	0.7977875668	0.1383249221	0.0828562429	0.1284075877	0.0232342116	0.0232342116
92	1	2	0	3.27855	2.031125	1.247425	0.6195192997	0.3804807003	0.0799429746	0.0950274632	0.0886591458	0.0255228415	0.0255228415
92	1	2	1	3.3133231609	2.8725104401	0.4408127208	0.8669575229	0.1330424771	0.0821073026	0.074413965	0.0482718146	0.0137408446	0.0137408446
92	1	2	2	3.2211844197	0.6430842607	2.578100159	0.1996421741	0.8003578259	0.1170879963	0.0710110765	0.0962805888	0.0191158192	0.0191158192
92	2	1	0	3.373275	2.3221	1.051175	0.688381469	0.311618531	0.0997424649	0.1448546882	0.1081542192	0.0337434582	0.0337434582
92	2	1	1	3.4809934701	3.1176927861	0.3633006841	0.8956330464	0.1043669536	0.1130743618	0.1261527703	0.0564300569	0.0170084162	0.0170084162
92	2	1	2	3.1790919283	0.8878923767	2.2911995516	0.2792911928	0.7207088072	0.1453055727	0.1017042728	0.1290227525	0.0278914934	0.0278914934
92	2	2	0	3.20005	2.265425	0.934625	0.707934251	0.292065749	0.1080871889	0.1428483304	0.1196565683	0.0371094437	0.0371094437
92	2	2	1	3.3068762583	3.0495973362	0.2572789221	0.9221988058	0.0778011942	0.1223532678	0.1152401944	0.0504827765	0.0148667238	0.0148667238
92	2	2	2	3.005362687	0.8362969235	2.1690657635	0.2782682194	0.7217317806	0.1625129429	0.1193490947	0.1467427006	0.03551647	0.03551647
