Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
68	1	1	0	5.516175	3.026925	2.48925	0.5487362167	0.4512637833	0.0554448744	0.1214853839	0.1134251878	0.0205629553	0.0205629553
68	1	1	1	5.5859535967	4.2176834184	1.3682701783	0.755051639	0.244948361	0.0599611254	0.0906958314	0.0843329821	0.0146773207	0.0146773207
68	1	1	2	5.4280298744	1.5227452755	3.9052845988	0.2805336947	0.7194663053	0.0771227091	0.100196509	0.1061593043	0.0175764469	0.0175764469
68	1	2	0	5.37305	3.3622	2.01085	0.6257525986	0.3742474014	0.1723336692	0.3807251411	0.3299971007	0.062775691	0.062775691
68	1	2	1	5.4220401475	4.5786562884	0.8433838591	0.8444526717	0.1555473283	0.2162251172	0.2777913259	0.211806956	0.0384644682	0.0384644682
68	1	2	2	5.2963438101	1.4575368826	3.8388069275	0.2751968027	0.7248031973	0.2321959478	0.3277074995	0.3209908797	0.0571302425	0.0571302425
68	2	1	0	5.601625	3.115775	2.48585	0.5562269877	0.4437730123	0.0481562562	0.1198457158	0.1231253466	0.0213057799	0.0213057799
68	2	1	1	5.6248412842	4.2414746962	1.3833665881	0.7540612227	0.2459387773	0.0590843966	0.0915783884	0.0865135081	0.0149438852	0.0149438852
68	2	1	2	5.5731000669	1.732672164	3.8404279028	0.3108991662	0.6891008338	0.0566499725	0.0882955533	0.1018485892	0.0158849729	0.0158849729
68	2	2	0	5.661225	4.0096	1.651625	0.7082566052	0.2917433948	0.1301849795	0.3671314494	0.31691996	0.0580675327	0.0580675327
68	2	2	1	5.7039601649	5.0144713297	0.6894888353	0.879121029	0.120878971	0.1453730474	0.2172332913	0.1940657375	0.0335655784	0.0335655784
68	2	2	2	5.5843710648	2.2024625717	3.3819084931	0.3943976047	0.6056023953	0.1639967681	0.4194808511	0.3563015824	0.0691418243	0.0691418243
