Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
86	1	1	0	3.794625	2.298445	1.49618	0.6057107092	0.3942892908	0.0634209406	0.0926397259	0.08758429	0.0222974811	0.0222974811
86	1	1	1	3.8822044095	3.3484044807	0.5337999288	0.8625008185	0.1374991815	0.0786618505	0.0787252597	0.0502604317	0.0124346962	0.0124346962
86	1	1	2	3.6685491937	0.7869654314	2.8815837623	0.2145167994	0.7854832006	0.097744708	0.0654051201	0.0883014602	0.016056137	0.016056137
86	1	2	0	3.992775	2.72551	1.267265	0.6826104652	0.3173895348	0.0927845357	0.1215561419	0.098376291	0.0244349619	0.0244349619
86	1	2	1	4.0702759144	3.6151120111	0.4551639033	0.8881736981	0.1118263019	0.1061603626	0.1073942886	0.0580232721	0.0138238508	0.0138238508
86	1	2	2	3.8596298108	1.1971896064	2.6624402044	0.3101824955	0.6898175045	0.1202366342	0.1031525125	0.1113316966	0.0234743202	0.0234743202
86	2	1	0	4.173215	2.488425	1.68479	0.5962848787	0.4037151213	0.0652485713	0.1014203764	0.0925959403	0.0218729888	0.0218729888
86	2	1	1	4.1491989434	3.5149319016	0.6342670418	0.8471350614	0.1528649386	0.0850366674	0.0874625085	0.0551749421	0.012918989	0.012918989
86	2	1	2	4.2067886432	1.0534027145	3.1533859287	0.2504054289	0.7495945711	0.086000407	0.07577983	0.0922718871	0.0168098753	0.0168098753
86	2	2	0	4.39377	3.00505	1.38872	0.6839342979	0.3160657021	0.0852450082	0.131752938	0.1146324135	0.0258361194	0.0258361194
86	2	2	1	4.5101269892	4.016291593	0.4938353962	0.8905052125	0.1094947875	0.100976807	0.1114981277	0.0655634499	0.0144221603	0.0144221603
86	2	2	2	4.2022228103	1.3403413601	2.8618814501	0.3189600887	0.6810399113	0.1206118614	0.1029051002	0.1290189209	0.0230304593	0.0230304593
