"Age Group","Residence","Cohort","TLE","HapLE","HapLE%","UnHapLE","UnHapLE%"
"68-73","Urban","Earlier","5.61 (5.50, 5.71)","3.23 (2.96, 3.49)","57.6 (53.1, 62.1)","2.38 (2.12, 2.63)","42.4 (37.9, 46.9)"
"68-73","Urban","Later","5.73 (5.55, 5.90)","4.27 (3.74, 4.79)","74.5 (65.6, 83.4)","1.46 (0.95, 1.98)","25.5 (16.6, 34.4)"
"68-73","Urban","Diff.","0.12 (-0.09, 0.33)","1.04 (0.45, 1.62)***","16.9 (6.9, 26.9)***","-0.92 (-1.49, -0.34)**","-16.9 (-26.9, -6.9)***"
"68-73","Rural","Earlier","5.54 (5.45, 5.63)","2.97 (2.75, 3.18)","53.6 (49.8, 57.4)","2.57 (2.35, 2.78)","46.4 (42.6, 50.2)"
"68-73","Rural","Later","5.28 (4.91, 5.65)","3.21 (2.38, 4.04)","60.8 (47.4, 74.2)","2.07 (1.41, 2.73)","39.2 (25.8, 52.6)"
"68-73","Rural","Diff.","-0.26 (-0.64, 0.12)","0.24 (-0.62, 1.10)","7.2 (-6.8, 21.2)","-0.50 (-1.20, 0.20)","-7.2 (-21.2, 6.8)"
"74-79","Urban","Earlier","5.22 (5.10, 5.35)","3.10 (2.87, 3.33)","59.4 (55.3, 63.5)","2.12 (1.90, 2.34)","40.6 (36.5, 44.7)"
"74-79","Urban","Later","5.28 (5.16, 5.40)","3.60 (3.37, 3.84)","68.3 (64.1, 72.4)","1.68 (1.46, 1.90)","31.7 (27.6, 35.9)"
"74-79","Urban","Diff.","0.06 (-0.11, 0.23)","0.50 (0.17, 0.83)**","8.8 (3.0, 14.7)**","-0.44 (-0.75, -0.13)**","-8.8 (-14.7, -3.0)**"
"74-79","Rural","Earlier","5.33 (5.23, 5.43)","2.84 (2.64, 3.03)","53.3 (49.8, 56.7)","2.49 (2.30, 2.68)","46.7 (43.3, 50.2)"
"74-79","Rural","Later","5.37 (5.24, 5.50)","3.06 (2.79, 3.33)","56.9 (52.0, 61.8)","2.31 (2.04, 2.58)","43.1 (38.2, 48.0)"
"74-79","Rural","Diff.","0.04 (-0.12, 0.20)","0.22 (-0.12, 0.55)","3.6 (-2.3, 9.6)","-0.18 (-0.50, 0.15)","-3.6 (-9.6, 2.3)"
"80-85","Urban","Earlier","4.87 (4.73, 5.01)","2.86 (2.61, 3.11)","58.8 (54.1, 63.4)","2.01 (1.78, 2.24)","41.2 (36.6, 45.9)"
"80-85","Urban","Later","4.91 (4.75, 5.07)","3.47 (3.21, 3.72)","70.7 (66.3, 75.0)","1.44 (1.22, 1.65)","29.3 (25.0, 33.7)"
"80-85","Urban","Diff.","0.04 (-0.17, 0.25)","0.61 (0.25, 0.96)***","11.9 (5.5, 18.3)***","-0.57 (-0.88, -0.25)***","-11.9 (-18.3, -5.5)***"
"80-85","Rural","Earlier","4.68 (4.54, 4.82)","2.71 (2.50, 2.91)","57.8 (53.8, 61.8)","1.98 (1.78, 2.17)","42.2 (38.2, 46.2)"
"80-85","Rural","Later","4.77 (4.59, 4.94)","3.14 (2.84, 3.44)","65.9 (60.5, 71.2)","1.63 (1.37, 1.88)","34.1 (28.8, 39.5)"
"80-85","Rural","Diff.","0.09 (-0.14, 0.31)","0.43 (0.07, 0.79)*","8.1 (1.4, 14.7)*","-0.35 (-0.67, -0.03)*","-8.1 (-14.7, -1.4)*"
"86-91","Urban","Earlier","4.04 (3.92, 4.17)","2.57 (2.39, 2.75)","63.6 (59.6, 67.6)","1.47 (1.30, 1.64)","36.4 (32.4, 40.4)"
"86-91","Urban","Later","4.30 (4.13, 4.48)","3.04 (2.77, 3.30)","70.5 (65.6, 75.5)","1.27 (1.06, 1.48)","29.5 (24.5, 34.4)"
"86-91","Urban","Diff.","0.26 (0.05, 0.47)*","0.46 (0.15, 0.78)**","6.9 (0.5, 13.3)*","-0.20 (-0.47, 0.07)","-6.9 (-13.3, -0.5)*"
"86-91","Rural","Earlier","4.03 (3.90, 4.15)","2.35 (2.16, 2.55)","58.5 (54.3, 62.7)","1.67 (1.50, 1.84)","41.5 (37.3, 45.7)"
"86-91","Rural","Later","4.21 (4.04, 4.38)","2.81 (2.54, 3.07)","66.6 (61.4, 71.9)","1.41 (1.19, 1.62)","33.4 (28.1, 38.6)"
"86-91","Rural","Diff.","0.19 (-0.02, 0.40)","0.45 (0.13, 0.78)**","8.1 (1.4, 14.9)*","-0.27 (-0.54, 0.01)","-8.1 (-14.9, -1.4)*"
