"Age Range","Sex","Cohort","TLE","HapLE","HapLE%","UnHapLE","UnHapLE%"
"68-73","Overall","Earlier","5.56 (5.49, 5.63)","3.07 (2.91, 3.23)","55.2 (52.3, 58.1)","2.49 (2.33, 2.66)","44.8 (41.9, 47.7)"
"68-73","Overall","Later","5.50 (5.27, 5.74)","3.67 (3.09, 4.25)","66.7 (57.6, 75.9)","1.83 (1.35, 2.31)","33.3 (24.1, 42.4)"
"68-73","Overall","Diff.","-0.06 (-0.30, 0.19)","0.60 (0.00, 1.21)*","11.5 (2.0, 21.1)*","-0.66 (-1.17, -0.16)*","-11.5 (-21.1, -2.0)*"
"68-73","Men","Earlier","5.51 (5.42, 5.61)","3.02 (2.80, 3.25)","54.8 (50.9, 58.8)","2.49 (2.27, 2.71)","45.2 (41.2, 49.1)"
"68-73","Men","Later","5.37 (5.03, 5.71)","3.36 (2.65, 4.07)","62.5 (51.1, 74.0)","2.01 (1.42, 2.60)","37.5 (26.0, 48.9)"
"68-73","Men","Diff.","-0.15 (-0.50, 0.21)","0.34 (-0.41, 1.08)","7.7 (-4.4, 19.9)","-0.48 (-1.11, 0.15)","-7.7 (-19.9, 4.4)"
"68-73","Women","Earlier","5.60 (5.51, 5.69)","3.11 (2.88, 3.35)","55.6 (51.4, 59.7)","2.49 (2.25, 2.73)","44.4 (40.3, 48.6)"
"68-73","Women","Later","5.66 (5.39, 5.93)","4.01 (3.27, 4.75)","70.9 (59.5, 82.3)","1.65 (1.04, 2.26)","29.1 (17.7, 40.5)"
"68-73","Women","Diff.","0.06 (-0.22, 0.34)","0.90 (0.12, 1.68)*","15.3 (3.2, 27.4)*","-0.84 (-1.50, -0.18)*","-15.3 (-27.4, -3.2)*"
"74-79","Overall","Earlier","5.30 (5.22, 5.38)","2.93 (2.77, 3.09)","55.3 (52.5, 58.2)","2.37 (2.22, 2.52)","44.7 (41.8, 47.5)"
"74-79","Overall","Later","5.33 (5.24, 5.43)","3.32 (3.12, 3.52)","62.3 (58.7, 65.9)","2.01 (1.81, 2.21)","37.7 (34.1, 41.3)"
"74-79","Overall","Diff.","0.04 (-0.08, 0.16)","0.39 (0.14, 0.65)**","7.0 (2.4, 11.6)**","-0.36 (-0.61, -0.11)**","-7.0 (-11.6, -2.4)**"
"74-79","Men","Earlier","5.23 (5.12, 5.34)","3.03 (2.82, 3.24)","57.9 (54.2, 61.6)","2.20 (2.01, 2.40)","42.1 (38.4, 45.8)"
"74-79","Men","Later","5.14 (5.00, 5.29)","3.13 (2.88, 3.37)","60.8 (56.3, 65.3)","2.02 (1.78, 2.26)","39.2 (34.7, 43.7)"
"74-79","Men","Diff.","-0.08 (-0.26, 0.09)","0.10 (-0.22, 0.42)","2.9 (-3.0, 8.7)","-0.18 (-0.49, 0.13)","-2.9 (-8.7, 3.0)"
"74-79","Women","Earlier","5.36 (5.26, 5.46)","2.84 (2.63, 3.06)","53.1 (49.1, 57.0)","2.52 (2.30, 2.73)","46.9 (43.0, 50.9)"
"74-79","Women","Later","5.52 (5.43, 5.62)","3.48 (3.21, 3.75)","63.0 (58.2, 67.8)","2.04 (1.77, 2.31)","37.0 (32.2, 41.8)"
"74-79","Women","Diff.","0.16 (0.02, 0.30)*","0.64 (0.29, 0.99)***","10.0 (3.8, 16.2)**","-0.47 (-0.82, -0.13)**","-10.0 (-16.2, -3.8)**"
"80-85","Overall","Earlier","4.74 (4.63, 4.85)","2.75 (2.58, 2.92)","58.0 (54.8, 61.2)","1.99 (1.83, 2.15)","42.0 (38.8, 45.2)"
"80-85","Overall","Later","4.84 (4.71, 4.97)","3.29 (3.08, 3.51)","68.1 (64.3, 71.9)","1.54 (1.36, 1.72)","31.9 (28.1, 35.7)"
"80-85","Overall","Diff.","0.10 (-0.07, 0.27)","0.55 (0.27, 0.82)***","10.1 (5.1, 15.1)***","-0.45 (-0.69, -0.21)***","-10.1 (-15.1, -5.1)***"
"80-85","Men","Earlier","4.60 (4.46, 4.74)","2.74 (2.51, 2.97)","59.5 (55.0, 64.1)","1.86 (1.65, 2.08)","40.5 (35.9, 45.0)"
"80-85","Men","Later","4.70 (4.52, 4.88)","3.09 (2.82, 3.36)","65.8 (60.8, 70.8)","1.61 (1.36, 1.85)","34.2 (29.2, 39.2)"
"80-85","Men","Diff.","0.10 (-0.13, 0.33)","0.35 (0.00, 0.70)*","6.3 (-0.5, 13.0)","-0.25 (-0.58, 0.07)","-6.3 (-13.0, 0.5)"
"80-85","Women","Earlier","4.85 (4.71, 5.00)","2.76 (2.54, 2.98)","56.9 (52.7, 61.0)","2.09 (1.88, 2.30)","43.1 (39.0, 47.3)"
"80-85","Women","Later","4.95 (4.77, 5.12)","3.44 (3.15, 3.73)","69.6 (64.6, 74.5)","1.51 (1.27, 1.74)","30.4 (25.5, 35.4)"
