Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
74	1	1	0	5.23013	3.032325	2.197805	0.5797800437	0.4202199563	0.0569665667	0.0989974982	0.0984274533	0.018069488	0.018069488
74	1	1	1	5.2846572605	4.1548400434	1.1298172171	0.7862080431	0.2137919569	0.0631631323	0.0799059064	0.0700970356	0.0128195058	0.0128195058
74	1	1	2	5.1546850046	1.4791909995	3.6754940052	0.2869605026	0.7130394974	0.0810908865	0.0881519688	0.0919633603	0.0156660706	0.0156660706
74	1	2	0	5.122005	3.11038	2.011625	0.6072582905	0.3927417095	0.0771897327	0.1386960959	0.1248246479	0.0244386897	0.0244386897
74	1	2	1	5.2182789285	4.3721577558	0.8461211727	0.8378543607	0.1621456393	0.0818058166	0.1083319958	0.0865230355	0.0164681692	0.0164681692
74	1	2	2	5.0027756637	1.5477458925	3.4550297712	0.309377433	0.690622567	0.112063511	0.117606541	0.1214401429	0.0212050479	0.0212050479
74	2	1	0	5.357485	2.892255	2.46523	0.5398531214	0.4601468786	0.0522456548	0.1128733796	0.1084885396	0.0200170174	0.0200170174
74	2	1	1	5.3947222009	4.1949198066	1.1998023943	0.7775970014	0.2224029986	0.0661655278	0.0921355533	0.0781246609	0.0142508253	0.0142508253
74	2	1	2	5.3169437714	1.4740057649	3.8429380065	0.2772280145	0.7227719855	0.0658556665	0.0913591061	0.1006510744	0.0166763076	0.0166763076
74	2	2	0	5.51294	3.518835	1.994105	0.6382864678	0.3617135322	0.0534171796	0.1207975815	0.1165686557	0.0209085718	0.0209085718
74	2	2	1	5.6144945413	4.7599922676	0.8545022737	0.8478042382	0.1521957618	0.0557795053	0.0917740586	0.0817833228	0.0144435658	0.0144435658
74	2	2	2	5.3921918438	2.0431013725	3.3490904713	0.3788999783	0.6211000217	0.0774661698	0.1224531605	0.1204864509	0.0214327908	0.0214327908
