Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
68	1	1	0	5.60637	3.2286	2.37777	0.57588065	0.42411935	0.054458861	0.1345310262	0.1308178147	0.0230782959	0.0230782959
68	1	1	1	5.6286676003	4.3348462097	1.2938213906	0.770137183	0.229862817	0.0603283149	0.1047743318	0.0978727653	0.0171030068	0.0171030068
68	1	1	2	5.5739240382	1.6188652378	3.9550588004	0.2904354682	0.7095645318	0.0703617172	0.1149980629	0.1167149662	0.0198178732	0.0198178732
68	1	2	0	5.537485	2.968455	2.56903	0.5360655604	0.4639344396	0.0461124438	0.1102547101	0.1093113319	0.0193729942	0.0193729942
68	1	2	1	5.5850717937	4.1505224778	1.4345493159	0.7431457699	0.2568542301	0.0496594506	0.0857664566	0.080890949	0.0142065226	0.0142065226
68	1	2	2	5.4833732262	1.6243054368	3.8590677894	0.2962237604	0.7037762396	0.0645777925	0.0952456299	0.1011515435	0.0168231556	0.0168231556
68	2	1	0	5.726155	4.265675	1.46048	0.7449457795	0.2550542205	0.0908666275	0.2667596523	0.2628502378	0.0455183342	0.0455183342
68	2	1	1	5.7322079616	5.3332691111	0.3989388505	0.9304039816	0.0695960184	0.1092427428	0.136485206	0.1056181808	0.0181870511	0.0181870511
68	2	1	2	5.7135983521	2.0509899772	3.6626083748	0.3589664255	0.6410335745	0.1049668022	0.3461635391	0.3395751451	0.0592560979	0.0592560979
68	2	2	0	5.27855	3.20937	2.06918	0.6080021976	0.3919978024	0.1885059543	0.4238210348	0.3386303498	0.0686163429	0.0686163429
68	2	2	1	5.342221345	4.3065119632	1.0357093818	0.8061275797	0.1938724203	0.2181524322	0.3166721302	0.2784156619	0.0507756238	0.0507756238
68	2	2	2	5.1896712828	1.677871484	3.5117997987	0.3233097806	0.6766902194	0.2426194267	0.3745565337	0.3119439782	0.0641155574	0.0641155574
